date,equity,total_pct,realized,closed_trades,wins,losses,open_positions,cycles,gate_blocks
2026-09-09,98704.15,-1.3,283.0,4,2,2,5,27,117
2026-09-10,98194.08,-1.81,283.0,4,2,2,5,29,129
2026-09-11,98879.08,-1.12,283.0,4,2,2,5,31,141
2026-09-14,98189.08,-1.81,283.0,4,2,2,5,32,147
2026-09-15,97229.9,-2.77,-1871.0,7,2,5,5,33,147
2026-09-16,96495.71,-3.5,-1871.0,7,2,5,5,34,152
2026-09-17,97115.66,-2.88,-2781.0,8,2,6,5,35,152
2026-09-18,96619.59,-3.38,-2781.0,8,2,6,5,40,167
2026-09-22,99349.22,-0.65,-454.0,11,5,6,5,42,167
